manual,pagina,arquivo_imagem,texto_extraido
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,1,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_1.png,"GPN0020807

Manual de Montagem em Campo

CARREGADEIRA WA1200-6

DE RODAS

Numero de série 70001 eacima

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,2,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_2.png,
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,3,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_3.png,"PREFACIO

Em fungao desta ser uma maquina de grandes porporcées, € necessaria dividi-la em unidades para atender as
regulamentagées e condigées de transporte aplicadas a rota de transporte quando a maquina é embarcada de
fabrica. Este manual descreve o procedimento de montagem das unidades para a montagem da maquina em campo.
Esperamos que essa maquina apresente toda a sua capacidade em termos de qualidade e que vocé a use
respeitando todas as instrugdes de seguranga fornecidas no Manual de Operagao.

Mesmo com a divisao da maquina, muitas unidades ainda sao de grandes propor¢gdes e apresentam peso elevado,
tendo muitas vezes de serem manuseadas em locais ou posigdes que oferecem risco, onde seja necessario 0
trabalho conjunto de varios funcionarios para eleva-las com 0 auxilio de guindastes.

Desse modo, antes de iniciar o trabalho de montagem, o supervisor pela operacao deve reunir o pessoal para uma
reuniao onde sao apresentadas as instrugdes de seguran¢a, orientando os funcionarios quanto ao uso de
equipamentos de protegao e apontamento de um lider para a execuc¢ao do trabalho, bem como de um sinaleiro para
orientar as operacdes do guindaste, além de diversas outas regras que devem ser seguidas para atender a todas as
especificagdes de seguranga do trabalho.

A reuniao mencionada acima faz-se ainda mais importante quando a operac¢ao envolve o trabalho conjunto de
funcionarios de diferentes idiomas e costumes.

O fluxograma a seguir ilustra um sistema de supervisao que pode ser seguido como referéncia.

6LVWHPDGHLQVWUXo}HV

7 /tGHURSHUDFLR'
""LUHWR
KSHUYLVRUGHVH ‘LUHWRUGHJXLQGDVW H
vt YLFHGLUHW

p42 SHUDGRUGHPRQWDJHP
3URILVVLRQDOGHO| JDp

3 0 HFkQLFRV ""LYLVmRGRWUDEDOK

;QWpUSUH —

Observe que este manual nao descreve as especificagdes completas da maquina, mas apenas as especificagdes
basicas.
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,4,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_4.png,
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,5,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_5.png,"Prefacio
Precaugées aplicaveis a montagem em campo

Disposicgao das pegas removidas

1 Visao geral da divisao dos componentes

No. 0100 | Fixagao do eixo

wo
i}

wo
BK

w
wo

w
a

wo
rep}

No. 0110 | Fixagao do chassi traseiro

wo
Pe

No. 0111 | Fixagao do chassi traseiro (especificagao do tipo de embalagem para transporte terrestre)

No. 0115 | Remogao do protetor do trem de forga
No. 0120 | Instalagao do eixo traseiro

No. 0130 | Instalagao do conjunto de roda e pneu traseiro

wo
foe}

oS kh], R] HR] w
wo mM]Alo;]o

No. 0200 | Conexao dos chassis dianteiro e traseiro (superior)

No. 0205 | Procedimento de Montagem em Campo Conexao dos chassis dianteiro e traseiro (superior)
(especificagao de embalagem para transporte terrestre)

No. 0210 | Conexao dos chassis dianteiro e traseiro (inferior)
No. 0220 | Procedimento de conex4o dos chassis dianteiro e traseiro
No. 0230 | Aperto do parafuso da dobradiga central com o torque especificado

No. 0240 | Reinstalagao do suporte do link

BS
N

No. 0250 | Conexao da placa da barra de trava de seguranga (lado do chassi dianteiro)

a
o

No. 0270 | Instalagao do pino de diregao

a
oO

No. 0275 alagao do pino da diregao (especificagao do tipo de embalagem para transporte terrestre)

No. 0325 | Instalagao do farol de trabalho dianteiro (especificagao PDI) 55

oa
Ds}

a
KR

oa
wo

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,6,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_6.png,"Procedimento de montagem (2/10)

No. 0330 | Conexao do sensor de velocidade do eixo dianteiro

No. 0350 | Conexao do eixo de transmissao dianteiro (entre o eixo dianteiro e o suporte central)

No. 0360 | Instalagao do eixo de transmissao central (entre o suporte central e a transmissao)

No. 0370 | Instalagao do eixo de transmiss4o traseiro (entre a transmissao e 0 eixo traseiro)

Dimensées dos componentes principais

5-3] Tabela de Torques de Aperto
Padrao.

6 luista de materiais secundarios para montagem em campo
30

6-1 |selecao de cabos de ago utilizados no porcesso de montagem
sen PETESESESE TET ESESESETESESTSESETTETESESETESESESETENEOTESETETESESESETETETIETTSETENED! 31-1

6-2|selecao de eslingas de nylon utilizadas no processo de montagem
sanUpEpETESE SENT EEESESESETESESESESETEOEUSESETESESESETETESTTEEESOSESESESETETINTED 31-2

Procedimento de montagem (1/10)
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,7,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_7.png,"Procedimento de montagem (3/10)

No. Item Pagina

No. 0380 | Procedimento de instalagao da protegao do trem de forca

No.0385 | Protetor inferior da transmissao 60-1

No. 0390 | Reinstalagao da protecao do eixo de transmiss4o traseiro

No. 0400 | Conex@o das tubulacées (1)

No. 0405 | Conexao das tubulagées (1)-1 (especificagao do tipo de embalagem para transporte terrestre) 6

61
62

No. 0406 | Conexao das tubulagées (1)-2 (especificagao do tipo de embalagem para transporte terrestre)

No. 0410 | Conex@o das tubulagées (2) 65
3)

No. 0420 | Conex4o das tubulacgées (

No. 0430 | Instalagao do conjunto do acumulador PPC (especificagao do tipo de embalagem 67

D
BRL w

para transporte terrestre)

No. 0431 | Conexao da tubulagao do acumulador PPC-1 (especificagao do tipo de embalagem para
transporte terrestre)

No. 0432 | Conexao da tubulagao do acumulador PPC-2 (especificagao do tipo de embalagem para 69
transporte terrestre)

No. 0440 | Instalagao do conjunto do filtro do conversor de torque e conexao da tubulagao
(especificagao do tipo de embalagem para transporte terrestre)

No. 0441 | Conexao e fixagao do chicote do filtro do conversor de torque (especificagao do tipo de 71
embalagem para transporte terrestre)

No. 0442 | Instalagao da tampa do filtro do conversor de torque (especificagao do tipo de embalagem

para transporte terrestre)

No. 0450 | Conexao da tubulac¢ao de lubrificagao automatica

No. 0460 lagao do conjunto do motor (especificagao do tipo de embalagem para transporte terrestre)

No. 0460-1 lagao do conjunto do motor (especificagao do tipo de embalagem para transporte terrestre)

No. 0460- lagao do conjunto do motor (especificagao do tipo de embalagem para transporte terrestre)

No. 0460- lagao do conjunto do motor (especificagao do tipo de embalagem para transporte terrestre)

No. 0465 | Fixagao dA mangueira de dreno do motor (1) (especificagao do tipo de embalagem para
transporte terrestre)

No. 0470 | Instalagao do eixo de transmissao superior (especificagao do tipo de embalagem para
transporte terrestre)

No. 0475 | Conexao da tubula¢ao do conjunto do filtro bypass (especificagao do tipo de embalagem para
transporte terrestre)

No. 0480 | Conexao da linha de aterramento do motor (especificagao do tipo de embalagem para 81
transporte terrestre)

No. 0482 | Conexao do chicote do motor (especificagao do tipo de embalagem para transporte terrestre) 82

No. 0485 | Conexao do cabo do motor (especificagao do tipo de embalagem para transporte terrestre)

No. 0490 | Fixagao da mangueira de dreno do motor (2) (especificagao do tipo de embalagem para 84
transporte terrestre

)

No. 0520 | Conexao da tubulagao do respiro (especificagao de respiro remoto centralizado) 88

85
87

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,8,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_8.png,"Procedimento de montagem (4/10)

No.

0540 | Remogao do gabarito sob o reservatdrio de dleo do motor ((especificagao PDI)

No.

0550 | Preparagao para a instalagao do tanque de combustivel e do conjunto do para-choque

No.

No.

0555 lagao do suporte do conjunto do para-choque (especificagao do tipo de embalagem para
porte terrestre)

0560 | Instalagao do conjunto do tanque de combustivel e para-choque

No.
No.
No.
No.
No.

No. 0570 | Conexao do sensor de nivel de combustivel
No. 0575 | Conexao do chicote do para-choque | 94 |
No. 0580 | Instalagao da tampa do filtro de combustivel e do filtro bypass 95
No. 0585 | Instalagao da tampa do filtro de combustivel e do filtro bypass (especificagao PDI) 96
No. Item Pagina

0590 | Conexao do tubulagao de combustivel 97
0595 | Instalagao do reservatdrio de dleo do motor (especificagao PDI)
0600 | Instalagao do conjunto do assoalho e da cabine

0610 | Conexao da haste de ligagao AJSS (suporte do lado do chassi dianteiro)

oS
=a

0620 | Conexao e fixagao do chicote sob 0 assoalho

No.

0630 | Fixagao da mangueira sob a cabine

No.
No.
No.
No.
No.

0640 | Conexao da mangueira sob a cabine (1)

ro}
a

0660 | Conexao e fixagao da fiagao sob a cabine

0665 | Conexao e fixagao do chicote adicional traseiro (1) (especificagao PDI)

oO
a

o/oO
wW]lrn

0666 | Conexao e fixagao do chicote adicional traseiro (2) (especificagao PDI)

ro}
foe}

0667 | Conexao e fixagao do chicote adicional traseiro (3) (especificagao PDI)

No.
No.
No.
No.
No.
No.

fo)
Oo

0670 | Instalagao da antena de radio

0680 | Conexao da fiagao da camera de visao traseira (especificagao do monitor de ré e padrao EC)

0690 | Fixagao da tubulagao sob a cabine
0700 | Instalagao do toldo ROPS

0705 | Instalagao do toldo ROPS (especificagao do tipo de embalagem para transporte terrestre)

0707 | Instalagao do apoio do toldo ROPS (especificagao PDI)

No.

0710 | Fixagao da mangueira de drenagem do ar-condicionado (1)

No.
No.
No.
No.

No.

0715 | Fixagao do chicote adicional traseiro (especificagao PDI)

0720 | Fixagao da mangueira de drenagem do ar-condicionado (2)
0730 | Conexao e fixagao da tubulacao de drenagem do ar-condicionado sob o assoalho

0740 | Conexao e fixagao da mangueira do aquecedor e da mangueira de dreno do ar-condicionado
(Especificagao PDI)

0750 | Instalagao da luz de trabalho da estrutura ROPS

NO
lo}

No.

I)
=

0755 | Instalagao da luz de trabalho da estrutura ROPS (Especificagao PDI)

No.

IN)
IN)

0760 | Instalagao da antena ORBCOMM

No.

No.

N
wo

0800 | Instalagao da caixa de bateria (especificagao do tipo de embalagem para remessa por
transporte terrestre)

0810 | Fiagao e conexao da caixa de bateria (1) (especificagao do tipo de embalagem para
remessa por transporte terrestre)
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,9,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_9.png,"Procedimento de montagem (5/10)

No. 0820 | Fiagao e conexao da caixa de bateria (2) (especificagao do tipo de embalagem para
remessa por transporte terrestre)
No. 0830 | Fiagao e conexao da caixa de bateria (3) (especificagao do tipo de embalagem para

remessa por transporte terrestre)
No. 0840 | Fiagao e conexao da caixa de bateria (4) (especificagao do tipo de embalagem para 127
remessa por transporte terrestre)
No. 0850 | Instalagao do suporte da bateria (especificagao do tipo de embalagem para remessa 128
por transporte terrestre)

No. 0860 | Fixacao da fiagao do suporte da bateria (1) (especificagao do tipo de embalagem para
remessa por transporte terrestre)
No. 0870 | Fixacgao da fiagao do suporte da bateria (2) (especificagao do tipo de embalagem para

remessa por transporte terrestre)

remessa por transporte terrestre)

No. 0890 | Conexdo e fixagao da fiagao do disjuntor (1) (especificagao do tipo de embalagem para 134
remessa por transporte terrestre)
)

No. 0900 | Conexdo e fixagao da fiagao do disjuntor (2) (especificagao do tipo de embalagem para
remessa por transporte terrestre)
No. 0910 | Conex€o e fixagao da fiagao do disjuntor (3) (especificagao do tipo de embalagem para

remessa por transporte terrestre)

No. 0870-1} Fixagao da fiagao do suporte da bateria (2)-1 (especificagao do tipo de embalagem para

No. 0920 | Instalagao da tampa central do piso (1) (especificagao do tipo de embalagem para
remessa por transporte terrestre)

No. 1010 | Conexao e fixagao da tubulagao da mangueira do tanque do lavador

No. 1030 | Conexao e fixagao da mangueira de graxa remota

No. 1050 | Instalagao da protecgao do ar-condicionado e do aquecedor

No. 1100 | Instalagao do conjunto do condensador do ar condicionado

No. 1110 | Conexao do conjunto do condensador do ar condicionado - fiagao e tubulagao (1)
Ni )

0. 1115 | Conexao of conjunto do condensador do ar-condicionado - fiagao e tubulagao (1) (Especificagao
PD

No. 1120 | Conexao do conjunto do condensador do ar-condicionado - fiagao e tubulagao (2)

No. 1150 | Conexao da tubulagao da mangueira do aquecedor

No. 1160 | Fixagao do chicote traseiro do conjunto do condensador do ar-condicionado

No. 1170 | Instalagao da tampa do conjunto do condensador do ar-condicionado

No. 1180 | Instalagao da tampa do condensador do ar-condicionado

No. 1200 | Instalagao do conjunto do resfriador de freio a ar (especificagao do tipo de embalagem para
remessa por transporte terrestre)

No. 1210 | Conexao da tubulagao do conjunto do resfriador de freio a ar (especificagao do tipo de 154
embalagem para remessa por transporte terrestre)

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,10,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_10.png,"Procedimento de montagem (6/10)

No. 1220 | Instalagao da tampa do conjunto do resfriador de freio refrigerado a ar (especificagao do tipo de
embalagem para remessa por transporte terrestre)

No. 1223 | Instalagao do conjunto do radiador (2) (especificagao do tipo de embalagem para
remessa por transporte terrestre)

No. 1224 jagao do conjunto do radiador (3) (especificagao do tipo de embalagem para
‘ssa por transporte terrestre)

No. 1225 jagao do conjunto do radiador (4) (especificagao do tipo de embalagem para
‘ssa por transporte terrestre)

No. 1226 | Instalagao do conjunto do radiador e conexao da tubulagao (especificagao do tipo de embalagem
para remessa por transporte terrestre)

No. 1227 | Instalagao do defletor do conjunto do radiador (1) (especificagao do tipo de embalagem para
remessa por transporte terrestre)

No. 1231 | Conexao da tubulagao do conjunto do radiador (1) (especificagao do tipo de embalagem para
remessa por transporte terrestre)

No. 1232 | Conexao da tubulagao do conjunto do radiador (2) (especificagao do tipo de embalagem para
remessa por transporte terrestre)

No. 1233 | Instalagao da tela do ventilador do conjunto do radiador (especificagao do tipo de embalagem
para remessa por transporte terrestre)

No. 1234 | Instalagao da tampa da correia do ventilador do conjunto do radiador (especificagao do tipo de
embalagem para remessa por transporte terrestre)

No. 1235 | Conex@o da tubulagao entre o motor e o radiador (1) (especificagao do tipo de embalagem para
remessa por transporte terrestre)

No. 1236 | Conexao da tubulagao entre o motor e o radiador (2) (especificagao do tipo de embalagem para
remessa por transporte terrestre)

No. 1237 | Conexao da tubulacgao entre o motor e o radiador (3) (especificagao do tipo de embalagem para
remessa por transporte terrestre)

No. 1238 | Fixagao da mangueira de transbordamento do radiador (1) (especificagao do tipo de embalagem
para remessa por transporte terrestre)

No. 1239 | Fixagao da mangueira de transbordamento do radiador (2) (especificagao do tipo de embalagem 70
para remessa por transporte terrestre)

No. Item Pagina

No. 1240 | Instalagao do conjunto de protegao do radiador (especificagao do tipo de embalagem para 71
remessa por transporte terrestre)

No. 1241 | Conex@o e fixagao da fiagao no capé (especificagao do tipo de embalagem para 72
remessa por transporte terrestre)

No. 1242 | Instalagao do conjunto da lanterna na protegao do radiador (especificagao do tipo de embalagem 73
para remessa por transporte terrestre)

No. 1243 | Conexao da fiagao do conjunto da lanterna na protegao do radiador (especificagao do tipo de

embalagem para remessa por transporte terrestre)

No. 1244 | Instalagao do defletor do radiador (1) (especificagao do tipo de embalagem para
remessa por transporte terrestre)

No. 1245 | Instalagao do defletor do radiador (2) (especificagao do tipo de embalagem para 76
remessa por transporte terrestre)

No. 1246 | Instalagao do defletor do conjunto do radiador (2) (especificagao do tipo de embalagem para 77
remessa por transporte terrestre)

"
